BlockTime,Miner0Proportion,Difficulty
1,1103404,1.00000,1.00000
2,1256421,1.00000,1.00000
3,1333095,1.00000,1.00000
4,1966357,1.00000,1.00000
5,2479393,1.00000,1.00000
6,2704817,1.00000,1.00000
7,3076484,1.00000,1.00000
8,3230531,1.00000,1.00000
10,6897501,0.90000,1.00000
11,8096066,0.90909,1.00000
12,8514617,0.91667,1.00000
14,14533463,0.85714,1.00000
15,15891592,0.86667,1.00000
16,17098211,0.87500,1.00000
17,17576758,0.88235,1.00000
18,18277356,0.88889,1.00000
19,18459745,0.89474,1.00000
20,19391096,0.90000,1.00000
22,22752479,0.81818,1.00000
23,23476028,0.82609,1.00000
24,23898996,0.83333,1.00000
25,24517488,0.84000,1.00000
26,25753750,0.84615,1.00000
27,25973790,0.85185,1.00000
28,26260267,0.85714,1.00000
29,26507699,0.86207,1.00000
30,29066069,0.86667,1.00000
31,29464655,0.87097,1.00000
32,30525358,0.87500,1.00000
33,31306536,0.87879,1.00000
36,34150336,0.83333,1.00000
37,35011473,0.83784,1.00000
38,35995432,0.84211,1.00000
39,38668806,0.84615,1.00000
40,39435002,0.85000,1.00000
41,39467283,0.85366,1.00000
42,40317098,0.85714,1.00000
43,41829850,0.86047,1.00000
44,43231487,0.86364,1.00000
45,44282274,0.86667,1.00000
46,46014018,0.86957,1.00000
47,46766245,0.87234,1.00000
48,47371992,0.87500,1.00000
49,48143122,0.87755,1.00000
50,48170594,0.88000,1.00000
51,48559140,0.88235,1.00000
52,50498981,0.88462,1.00000
53,50654004,0.88679,1.00000
54,51026871,0.88889,1.00000
55,52177328,0.89091,1.00000
56,53604142,0.89286,1.00000
57,53901619,0.89474,1.00000
58,54269216,0.89655,1.00000
59,55874905,0.89831,1.00000
60,55995892,0.90000,1.00000
61,56903962,0.90164,1.00000
62,57880921,0.90323,1.00000
63,58530917,0.90476,1.00000
64,59218199,0.90625,1.00000
65,59278255,0.90769,1.00000
66,59436929,0.90909,1.00000
67,61625590,0.91045,1.00000
68,62456969,0.91176,1.00000
69,63361773,0.91304,1.00000
70,63493863,0.91429,1.00000
73,67004110,0.89041,1.00000
74,67810947,0.89189,1.00000
76,69364966,0.88158,1.00000
77,69774781,0.88312,1.00000
78,69775626,0.88462,1.00000
79,70094138,0.88608,1.00000
80,70162270,0.88750,1.00000
81,70214531,0.88889,1.00000
82,70489659,0.89024,1.00000
83,71723697,0.89157,1.00000
84,72448871,0.89286,1.00000
85,74136626,0.89412,1.00000
86,75539442,0.89535,1.00000
87,75657956,0.89655,1.00000
88,76766968,0.89773,1.00000
90,80656071,0.88889,1.00000
91,80934435,0.89011,1.00000
92,81112572,0.89130,1.00000
93,81389221,0.89247,1.00000
94,82135137,0.89362,1.00000
95,82420036,0.89474,1.00000
96,84094358,0.89583,1.00000
98,85706533,0.87755,1.00000
99,85797779,0.87879,1.00000
100,86016195,0.88000,1.00000
101,86414223,0.88119,1.00000
102,86513404,0.88235,1.00000
103,87011267,0.88350,1.00000
104,87527936,0.88462,1.00000
105,88292714,0.88571,1.00000
106,89247507,0.88679,1.00000
107,90178633,0.88785,1.00000
108,91806745,0.88889,1.00000
109,92632097,0.88991,1.00000
110,92657456,0.89091,1.00000
111,93784463,0.89189,1.00000
112,95092920,0.89286,1.00000
113,95180959,0.89381,1.00000
114,96733407,0.89474,1.00000
115,97117805,0.89565,1.00000
116,97647582,0.89655,1.00000
117,98308234,0.89744,1.00000
118,98690192,0.89831,1.00000
119,98694955,0.89916,1.00000
120,99411898,0.90000,1.00000
122,101754692,0.89344,1.00000
123,103982403,0.89431,1.00000
124,104292020,0.89516,1.00000
127,108027259,0.88189,1.00000
128,108167718,0.88281,1.00000
129,108884506,0.88372,1.00000
131,111712046,0.87023,1.00000
134,114490627,0.85821,1.00000
135,114652314,0.85926,1.00000
136,115169786,0.86029,1.00000
137,115732936,0.86131,1.00000
138,117240219,0.86232,1.00000
139,121065448,0.86331,1.00000
142,123326281,0.83803,1.00000
143,123624980,0.83916,1.00000
144,124162410,0.84028,1.00000
145,124304405,0.84138,1.00000
146,125327971,0.84247,1.00000
147,125680530,0.84354,1.00000
148,126880143,0.84459,1.00000
149,127409066,0.84564,1.00000
151,131141518,0.84106,1.00000
152,131198452,0.84211,1.00000
153,132654578,0.84314,1.00000
155,134587841,0.83226,1.00000
156,136026796,0.83333,1.00000
159,138095555,0.81132,1.00000
160,138979023,0.81250,1.00000
161,139680113,0.81366,1.00000
162,139721399,0.81481,1.00000
163,140062517,0.81595,1.00000
165,143916097,0.81212,1.00000
166,143955032,0.81325,1.00000
167,145141560,0.81437,1.00000
168,145774594,0.81548,1.00000
169,145959553,0.81657,1.00000
170,147011269,0.81765,1.00000
171,147632578,0.81871,1.00000
172,148171757,0.81977,1.00000
174,151630884,0.81609,1.00000
175,152381658,0.81714,1.00000
176,154132247,0.81818,1.00000
177,154619724,0.81921,1.00000
179,157281856,0.80447,1.00000
180,158215634,0.80556,1.00000
181,158732423,0.80663,1.00000
182,159468492,0.80769,1.00000
183,160287230,0.80874,1.00000
185,163047387,0.80541,1.00000
186,163237072,0.80645,1.00000
187,163339525,0.80749,1.00000
188,164581600,0.80851,1.00000
189,165231974,0.80952,1.00000
190,165918928,0.81053,1.00000
191,166472692,0.81152,1.00000
192,168502799,0.81250,1.00000
193,170191599,0.81347,1.00000
194,171207352,0.81443,1.00000
195,171433071,0.81538,1.00000
196,173463522,0.81633,1.00000
197,175141730,0.81726,1.00000
198,177913467,0.81818,1.00000
199,178663759,0.81910,1.00000
200,179518500,0.82000,1.00000
201,180144924,0.82090,1.00000
202,180667249,0.82178,1.00000
203,181885183,0.82266,1.00000
205,184456390,0.81463,1.00000
206,185529567,0.81553,1.00000
207,185712969,0.81643,1.00000
208,186680820,0.81731,1.00000
209,186727831,0.81818,1.00000
210,186778106,0.81905,1.00000
211,187296592,0.81991,1.00000
212,187511164,0.82075,1.00000
213,189263609,0.82160,1.00000
214,190109747,0.82243,1.00000
215,190795285,0.82326,1.00000
216,191083505,0.82407,1.00000
217,191756677,0.82488,1.00000
