delay,pi_A,pi_O,w_A,w_O
60000,0.5,0.5,0.9984,0.0236
66666,0.5082,0.4773,0.998623,0.0297507
75000,0.5159,0.4696,0.998449,0.0300256
85714,0.5132,0.4723,0.998831,0.0412873
100000,0.5123,0.4732,0.998243,0.0479713
120000,0.5162,0.4693,0.996513,0.0560409
150000,0.5344,0.4511,0.997006,0.0767014
200000,0.548,0.4375,0.994891,0.106971
300000,0.5772,0.4083,0.996015,0.166054
600000,0.6934,0.2921,0.993799,0.422116
1200000,0.8577,0.1278,0.997901,0.693271
1800000,0.9234,0.0621,0.998917,0.776167
2400000,0.957,0.0285,0.999478,0.859649
3000000,0.9702,0.0153,0.999897,0.882353
3600000,0.9755,0.01,0.999795,0.9
4200000,0.9825,0.003,1,0.933333
4800000,0.9827,0.0028,1,1
5400000,0.9838,0.0017,1,1
6000000,0.9844,0.0011,1,1
