delay,pi_A,pi_O,w_A,w_O
60000,0.51218,0.48782,0.999414,0.0279816
66561,0.51601,0.48399,0.999225,0.0312403
75000,0.51682,0.48318,0.999091,0.0341902
85505,0.52026,0.47974,0.999154,0.0414183
100000,0.52512,0.47488,0.999029,0.0508128
119809,0.53213,0.46787,0.998478,0.0601235
150000,0.53909,0.46091,0.998312,0.0791912
199937,0.55499,0.44501,0.99809,0.115368
300000,0.59704,0.40296,0.997253,0.194511
600000,0.74015,0.25985,0.997028,0.4792
1199873,0.909,0.091,0.998845,0.803407
1799937,0.96588,0.03412,0.999896,0.917351
2400001,0.98666,0.01334,0.999929,0.951274
2999809,0.99453,0.00547,0.99996,0.963437
3599873,0.99771,0.00229,0.99999,0.960699
4199937,0.99888,0.00112,1,0.982143
4800001,0.99951,0.00049,1,0.938776
5399809,0.99984,0.00016,1,1
5999873,0.99985,0.00015,1,1
