delay,pi_A,pi_O,w_A,w_O
60000,0.5122,0.4878,0.997364,0.0260558
66666,0.51586,0.48414,0.996995,0.0278638
74753,0.51411,0.48589,0.996674,0.0319414
85505,0.51869,0.48131,0.996028,0.0364838
100000,0.51808,0.48192,0.995869,0.0439492
120000,0.52589,0.47411,0.99479,0.0518023
149761,0.52735,0.47265,0.993875,0.0630488
200000,0.53812,0.46188,0.992344,0.0840695
299777,0.56132,0.43868,0.989756,0.129343
599809,0.62701,0.37299,0.985231,0.261911
899841,0.68415,0.31585,0.985573,0.38227
1199873,0.74201,0.25799,0.987089,0.486298
1499905,0.78579,0.21421,0.989565,0.581672
1799937,0.82676,0.17324,0.991872,0.654814
2099969,0.86108,0.13892,0.993775,0.713072
2400001,0.88885,0.11115,0.995477,0.77049
2699777,0.91095,0.08905,0.996838,0.809882
2999809,0.92786,0.07214,0.997564,0.849598
3299841,0.94292,0.05708,0.998282,0.866328
3599873,0.95422,0.04578,0.998889,0.88969
3899905,0.96239,0.03761,0.999127,0.918107
4199937,0.97036,0.02964,0.999557,0.933198
4499969,0.97496,0.02504,0.999641,0.942093
4800001,0.98087,0.01913,0.999776,0.955044
5099777,0.98488,0.01512,0.999858,0.964286
5399809,0.98787,0.01213,0.999838,0.97197
5699841,0.98956,0.01044,0.99997,0.992337
5999873,0.99191,0.00809,0.999869,0.966625
