delay,pi_A,pi_O,w_A,w_O
1281,0.51247,0.48753,0.999395,0.0271778
1666,0.51271,0.48729,0.999415,0.0306388
1793,0.51569,0.48431,0.999127,0.0350602
2142,0.52039,0.47961,0.998962,0.0407623
2305,0.52315,0.47685,0.998853,0.0485478
2817,0.52848,0.47152,0.998732,0.0609306
3585,0.5401,0.4599,0.998463,0.0770167
4865,0.55487,0.44513,0.997747,0.110889
7500,0.59739,0.40261,0.997104,0.198728
15000,0.73892,0.26108,0.997077,0.482189
22500,0.84759,0.15241,0.998289,0.685454
29953,0.9076,0.0924,0.999207,0.818506
37377,0.94635,0.05365,0.999683,0.890774
44801,0.96702,0.03298,0.999824,0.925713
52500,0.98005,0.01995,0.999929,0.952882
59905,0.98738,0.01262,0.99997,0.967512
67329,0.99236,0.00764,0.99998,0.97644
74753,0.99534,0.00466,0.99999,0.984979
82433,0.99694,0.00306,1,0.990196
89857,0.99811,0.00189,1,1
97281,0.99887,0.00113,1,0.99115
104961,0.99915,0.00085,1,1
112385,0.99947,0.00053,1,1
119809,0.99975,0.00025,1,1
127489,0.99977,0.00023,1,1
134913,0.9999,0.0001,1,1
142337,0.99994,6e-05,1,1
149761,0.99993,7e-05,1,1
