delay,pi_A,pi_O,w_A,w_O
60000,0.5122,0.4878,0.997364,0.0260558
66666,0.51586,0.48414,0.996995,0.0278638
75000,0.5141,0.4859,0.996674,0.0319613
85714,0.51868,0.48132,0.996028,0.0365038
100000,0.51808,0.48192,0.995869,0.0439492
120000,0.52589,0.47411,0.99479,0.0518023
150000,0.52734,0.47266,0.993875,0.0630686
200000,0.53812,0.46188,0.992344,0.0840695
300000,0.56131,0.43869,0.989756,0.129362
600000,0.627,0.373,0.985231,0.26193
900000,0.68414,0.31586,0.985573,0.38229
1200000,0.742,0.258,0.987089,0.486318
1500000,0.78578,0.21422,0.989565,0.581692
1800000,0.82675,0.17325,0.991872,0.654834
2100000,0.86107,0.13893,0.993775,0.713093
2400000,0.88884,0.11116,0.995477,0.770511
2700000,0.91094,0.08906,0.996838,0.809903
3000000,0.92785,0.07215,0.997564,0.849619
3300000,0.94291,0.05709,0.998282,0.866351
3600000,0.95421,0.04579,0.998889,0.889714
3900000,0.96238,0.03762,0.999127,0.918129
4200000,0.97035,0.02965,0.999557,0.933221
4500000,0.97495,0.02505,0.999641,0.942116
4800000,0.98086,0.01914,0.999776,0.955068
5100000,0.98487,0.01513,0.999858,0.964309
5400000,0.98786,0.01214,0.999838,0.971993
5700000,0.98955,0.01045,0.99997,0.992344
6000000,0.9919,0.0081,0.999869,0.966667
