delay,pi_A,pi_O,w_A,w_O
60000,0.97475,0.02525,0.999302,0.187327
66666,0.97575,0.02425,0.999365,0.185155
75000,0.97648,0.02352,0.999457,0.196003
85714,0.97794,0.02206,0.999519,0.198549
100000,0.97886,0.02114,0.999489,0.229896
120000,0.98079,0.01921,0.999358,0.236335
150000,0.98138,0.01862,0.999429,0.237916
200000,0.98297,0.01703,0.99941,0.278332
300000,0.98648,0.01352,0.999584,0.318047
600000,0.99072,0.00928,0.999637,0.407328
900000,0.99324,0.00676,0.999799,0.482249
1200000,0.99513,0.00487,0.999729,0.552361
1500000,0.99314,0.00686,0.999849,0.683673
1800000,0.99695,0.00305,0.99992,0.731148
2100000,0.99782,0.00218,0.99997,0.779817
2400000,0.99825,0.00175,0.99995,0.8
2700000,0.99869,0.00131,0.99999,0.916031
3000000,0.99762,0.00238,0.99995,0.735294
3300000,0.99931,0.00069,1,0.942029
3600000,0.99933,0.00067,1,0.835821
3900000,0.99944,0.00056,1,0.946429
4200000,0.99956,0.00044,1,0.886364
4500000,0.99704,0.00296,0.99994,0.699324
4800000,0.9997,0.0003,1,0.966667
5100000,0.99977,0.00023,1,1
5400000,0.99985,0.00015,1,1
5700000,0.99986,0.00014,1,1
6000000,0.99942,0.00058,0.99996,0.758621
