delay,pi_A,pi_O,w_A,w_O
60000,0.9737,0.0263,0.998459,0.205703
66666,0.97513,0.02487,0.998472,0.199839
75000,0.97562,0.02438,0.998391,0.205086
85714,0.97645,0.02355,0.998474,0.22293
100000,0.97725,0.02275,0.998526,0.215824
120000,0.97836,0.02164,0.998549,0.255545
150000,0.98055,0.01945,0.998695,0.269409
200000,0.98256,0.01744,0.998433,0.274083
300000,0.98554,0.01446,0.998894,0.330567
600000,0.99005,0.00995,0.999192,0.450251
900000,0.99284,0.00716,0.999265,0.481844
1200000,0.99406,0.00594,0.999487,0.569024
1500000,0.99162,0.00838,0.999506,0.642005
1800000,0.99639,0.00361,0.999749,0.612188
2100000,0.99701,0.00299,0.99986,0.735786
2400000,0.99751,0.00249,0.999789,0.706827
2700000,0.99838,0.00162,0.99995,0.833333
3000000,0.99615,0.00385,0.999789,0.745455
3300000,0.99901,0.00099,1,0.89899
3600000,0.99908,0.00092,0.99997,0.891304
3900000,0.99945,0.00055,1,0.945455
4200000,0.99923,0.00077,0.99999,0.896104
4500000,0.99882,0.00118,0.99997,0.872881
4800000,0.99952,0.00048,1,1
5100000,0.99972,0.00028,1,1
5400000,0.99984,0.00016,0.99999,0.75
5700000,0.99984,0.00016,1,1
6000000,0.99967,0.00033,0.99999,0.818182
