delay,pi_A,pi_O,w_A,w_O
1500,0.51164,0.48836,0.976898,0.050557
1666,0.51451,0.48549,0.976405,0.0555521
1875,0.51986,0.48014,0.97307,0.063294
2142,0.52102,0.47898,0.969061,0.0719445
2500,0.52192,0.47808,0.966681,0.0827686
3000,0.52813,0.47187,0.960691,0.0990951
3750,0.53989,0.46011,0.953805,0.12936
5000,0.55992,0.44008,0.949529,0.170446
7500,0.60031,0.39969,0.944845,0.266532
15000,0.74369,0.25631,0.974869,0.523819
22500,0.84986,0.15014,0.993034,0.716132
30000,0.91426,0.08574,0.997889,0.827502
37500,0.94785,0.05215,0.999388,0.897028
45000,0.96963,0.03037,0.999783,0.924597
52500,0.98125,0.01875,0.999959,0.96
60000,0.98894,0.01106,0.99999,0.977396
67500,0.99287,0.00713,1,0.980365
75000,0.99558,0.00442,1,0.995475
82500,0.99751,0.00249,1,1
90000,0.99824,0.00176,1,0.982955
97500,0.99894,0.00106,1,0.990566
105000,0.99931,0.00069,1,1
112500,0.99957,0.00043,1,1
120000,0.99972,0.00028,1,1
127500,0.9998,0.0002,1,1
135000,0.99988,0.00012,1,1
142500,0.99995,5e-05,1,1
150000,0.99994,6e-05,1,1
