delay,pi_A,pi_O,w_A,w_O
1500,0.51355,0.48645,0.987791,0.0390379
1666,0.51198,0.48802,0.986699,0.0420679
1875,0.51835,0.48165,0.985222,0.0474826
2142,0.52095,0.47905,0.98353,0.0553178
2500,0.52285,0.47715,0.98053,0.0662475
3000,0.52936,0.47064,0.978106,0.079785
3750,0.53754,0.46246,0.976355,0.101306
5000,0.55429,0.44571,0.969835,0.142492
7500,0.59148,0.40852,0.967928,0.224224
15000,0.73143,0.26857,0.982418,0.488402
22500,0.83635,0.16365,0.992659,0.670516
30000,0.90255,0.09745,0.997341,0.794972
37500,0.93919,0.06081,0.998988,0.870416
45000,0.96176,0.03824,0.999459,0.915272
52500,0.97708,0.02292,0.999765,0.943281
60000,0.98529,0.01471,0.999929,0.970088
67500,0.99102,0.00898,0.99995,0.987751
75000,0.9942,0.0058,1,0.981034
82500,0.99597,0.00403,1,0.992556
90000,0.99727,0.00273,0.99999,0.992674
97500,0.9985,0.0015,1,1
105000,0.99916,0.00084,1,1
112500,0.99941,0.00059,1,1
120000,0.99969,0.00031,1,1
127500,0.99968,0.00032,1,1
135000,0.99972,0.00028,1,1
142500,0.99991,9e-05,1,1
150000,0.99988,0.00012,1,1
