delay,pi_A,pi_O,w_A,w_O
60000,0.5115,0.4885,0.989208,0.0363767
66666,0.51475,0.48525,0.989218,0.0400412
75000,0.51557,0.48443,0.987587,0.0450839
85714,0.51961,0.48039,0.985162,0.0522076
100000,0.52288,0.47712,0.983476,0.061452
120000,0.52253,0.47747,0.981111,0.0681299
150000,0.53336,0.46664,0.978682,0.0878836
200000,0.54596,0.45404,0.976189,0.113845
300000,0.566,0.434,0.973481,0.16447
600000,0.64058,0.35942,0.975148,0.313616
900000,0.71165,0.28835,0.983292,0.443038
1200000,0.77298,0.22702,0.990362,0.559819
1500000,0.82321,0.17679,0.994825,0.653827
1800000,0.86168,0.13832,0.997017,0.733733
2100000,0.89487,0.10513,0.998436,0.793304
2400000,0.91773,0.08227,0.999128,0.837973
2700000,0.93775,0.06225,0.999531,0.879036
3000000,0.9519,0.0481,0.999706,0.9079
3300000,0.96362,0.03638,0.999844,0.927708
3600000,0.97139,0.02861,0.999907,0.939881
3900000,0.97736,0.02264,0.999928,0.949205
4200000,0.98242,0.01758,0.999959,0.969283
4500000,0.98735,0.01265,0.99998,0.962846
4800000,0.99031,0.00969,0.99997,0.98452
5100000,0.99181,0.00819,0.99999,0.986569
5400000,0.99361,0.00639,1,0.984351
5700000,0.99484,0.00516,1,0.988372
6000000,0.9961,0.0039,1,0.982051
