delay,pi_A,pi_O,w_A,w_O
60000,0.51185,0.48815,0.978646,0.0468913
66666,0.51276,0.48724,0.976441,0.0512068
75000,0.51855,0.48145,0.974101,0.057493
85714,0.52071,0.47929,0.972019,0.0670575
100000,0.52117,0.47883,0.968149,0.0769793
120000,0.52495,0.47505,0.963654,0.0871277
150000,0.53149,0.46851,0.957948,0.107981
200000,0.54443,0.45557,0.952427,0.137103
300000,0.56458,0.43542,0.945641,0.193997
600000,0.64099,0.35901,0.95131,0.342024
900000,0.70766,0.29234,0.965859,0.463501
1200000,0.77463,0.22537,0.979719,0.567644
1500000,0.8209,0.1791,0.988817,0.663317
1800000,0.86198,0.13802,0.993933,0.732213
2100000,0.89322,0.10678,0.996306,0.787694
2400000,0.91883,0.08117,0.998204,0.84822
2700000,0.93638,0.06362,0.998943,0.872053
3000000,0.95238,0.04762,0.999496,0.906972
3300000,0.96249,0.03751,0.99973,0.929619
3600000,0.97073,0.02927,0.999784,0.942262
3900000,0.97718,0.02282,0.999939,0.951358
4200000,0.98229,0.01771,0.999939,0.962733
4500000,0.98644,0.01356,0.99998,0.967552
4800000,0.98989,0.01011,0.99997,0.979228
5100000,0.99161,0.00839,0.99999,0.984505
5400000,0.99318,0.00682,1,0.983871
5700000,0.99484,0.00516,1,0.998062
6000000,0.996,0.004,1,0.995
