delay,pi_A,pi_O,w_A,w_O
60000,0.51371,0.48629,0.99965,0.0282342
66666,0.5128,0.4872,0.999707,0.0302956
75000,0.51575,0.48425,0.999787,0.0352504
85714,0.51633,0.48367,0.999438,0.0399446
100000,0.52622,0.47378,0.999373,0.0486091
120000,0.52778,0.47222,0.999394,0.0631062
150000,0.53793,0.46207,0.999275,0.077564
200000,0.55368,0.44632,0.999007,0.113573
300000,0.60051,0.39949,0.998601,0.199329
600000,0.74487,0.25513,0.998778,0.492651
900000,0.85088,0.14912,0.999154,0.702052
1200000,0.9128,0.0872,0.999649,0.812271
1500000,0.94789,0.05211,0.999884,0.883516
1800000,0.96877,0.03123,0.999897,0.914825
2100000,0.98099,0.01901,0.999969,0.940558
2400000,0.98754,0.01246,0.99997,0.960674
2700000,0.99238,0.00762,0.99998,0.955381
3000000,0.99536,0.00464,1,0.952586
3300000,0.99693,0.00307,0.99999,0.986971
3600000,0.99797,0.00203,1,0.970443
3900000,0.99858,0.00142,1,0.950704
4200000,0.99919,0.00081,0.99999,0.962963
4500000,0.99949,0.00051,1,1
4800000,0.99961,0.00039,1,1
5100000,0.99973,0.00027,1,1
5400000,0.99974,0.00026,1,1
5700000,0.9998,0.0002,1,1
6000000,0.99981,0.00019,1,1
