delay,pi_A,pi_O,w_A,w_O
1500,0.5131,0.4869,0.999844,0.0268638
1666,0.51552,0.48448,0.999748,0.0298877
1875,0.51747,0.48253,0.999652,0.0355418
2142,0.51773,0.48227,0.999594,0.0395836
2500,0.52417,0.47583,0.99958,0.0490511
3000,0.52982,0.47018,0.999377,0.0604875
3750,0.5371,0.4629,0.999199,0.0819183
5000,0.55966,0.44034,0.999232,0.117568
7500,0.60479,0.39521,0.998776,0.205359
15000,0.75258,0.24742,0.998937,0.502748
22500,0.86131,0.13869,0.999373,0.717788
30000,0.92176,0.07824,0.999685,0.837807
37500,0.9545,0.0455,0.999874,0.90989
45000,0.97425,0.02575,0.999969,0.941748
52500,0.98447,0.01553,0.99999,0.97038
60000,0.99084,0.00916,0.99999,0.983624
67500,0.99443,0.00557,0.99999,0.985637
75000,0.99665,0.00335,1,0.976119
82500,0.99802,0.00198,1,0.994949
90000,0.99875,0.00125,1,0.992
97500,0.99907,0.00093,1,1
105000,0.99952,0.00048,1,1
112500,0.99967,0.00033,1,1
120000,0.99977,0.00023,1,1
127500,0.9999,0.0001,1,1
135000,0.99986,0.00014,1,0.928571
142500,0.99994,6e-05,1,1
150000,0.99997,3e-05,1,1
