delay,pi_A,pi_O,w_A,w_O
60000,0.51396,0.48604,0.99965,0.0282487
66666,0.51365,0.48635,0.999572,0.0304102
75000,0.51755,0.48245,0.999614,0.0360452
85714,0.51761,0.48239,0.999459,0.0410456
100000,0.52401,0.47599,0.999485,0.0503582
120000,0.52692,0.47308,0.999355,0.0590598
150000,0.54128,0.45872,0.99952,0.078719
200000,0.5606,0.4394,0.999055,0.112176
300000,0.60004,0.39996,0.998883,0.198745
600000,0.74098,0.25902,0.998907,0.458961
900000,0.84058,0.15942,0.999369,0.635805
1200000,0.90165,0.09835,0.999645,0.744382
1500000,0.9349,0.0651,0.999775,0.81106
1800000,0.95544,0.04456,0.999895,0.835503
2100000,0.97158,0.02842,0.999907,0.877551
2400000,0.97863,0.02137,0.999959,0.887693
2700000,0.98629,0.01371,0.99997,0.938731
3000000,0.99013,0.00987,0.99998,0.933131
3300000,0.99292,0.00708,0.99999,0.944915
3600000,0.9946,0.0054,0.99999,0.942593
3900000,0.99615,0.00385,0.99999,0.955844
4200000,0.99729,0.00271,1,0.944649
4500000,0.99787,0.00213,1,0.99061
4800000,0.99848,0.00152,1,0.947368
5100000,0.99889,0.00111,1,0.972973
5400000,0.99916,0.00084,1,0.964286
5700000,0.99922,0.00078,1,1
6000000,0.99945,0.00055,1,0.981818
