delay,pi_A,pi_O,w_A,w_O,avg_block_interval
60000,0.51493,0.48507,0.999942,0.0271507,556898
66666,0.51634,0.48366,1,0.030538,552310
75000,0.51742,0.48258,0.999981,0.0343984,548537
85714,0.52179,0.47821,0.999962,0.0398151,540270
100000,0.52749,0.47251,0.999981,0.0496921,530952
120000,0.53147,0.46853,0.999981,0.0600175,517751
150000,0.53887,0.46113,0.999963,0.0810834,499317
200000,0.55374,0.44626,0.999946,0.114799,469276
300000,0.60173,0.39827,0.999801,0.201195,419889
600000,0.7471,0.2529,0.999893,0.497509,338618
900000,0.85417,0.14583,0.999906,0.698896,317210
1200000,0.91627,0.08373,0.999989,0.825272,309347
1500000,0.95129,0.04871,0.999968,0.888729,307544
1800000,0.97016,0.02984,0.999979,0.928954,305260
2100000,0.98243,0.01757,1,0.950484,306012
2400000,0.98885,0.01115,1,0.960538,305839
2700000,0.99324,0.00676,1,0.971893,304864
3000000,0.99561,0.00439,1,0.968109,306538
3300000,0.9975,0.0025,1,0.98,306469
3600000,0.99823,0.00177,1,0.960452,306600
3900000,0.99908,0.00092,1,0.978261,307532
4200000,0.99927,0.00073,1,0.972603,305387
4500000,0.99949,0.00051,1,1,305762
4800000,0.99969,0.00031,1,1,305178
5100000,0.99974,0.00026,1,0.961538,305562
5400000,0.99984,0.00016,1,1,305754
5700000,0.99992,8e-05,1,1,306959
6000000,0.99983,0.00017,1,1,306271
