delay,pi_A,pi_O,w_A,w_O
60000,0.51493,0.48507,0.999942,0.0271507
66666,0.51634,0.48366,1,0.030538
75000,0.51742,0.48258,0.999981,0.0343984
85714,0.52179,0.47821,0.999962,0.0398151
100000,0.52749,0.47251,0.999981,0.0496921
120000,0.53147,0.46853,0.999981,0.0600175
150000,0.53887,0.46113,0.999963,0.0810834
200000,0.55748,0.44252,0.99991,0.115181
300000,0.602,0.398,0.9999,0.201432
600000,0.74684,0.25316,0.99992,0.4889
900000,0.85479,0.14521,0.999906,0.705943
1200000,0.91622,0.08378,0.999902,0.828718
1500000,0.95055,0.04945,0.999947,0.896461
1800000,0.97127,0.02873,0.99999,0.924121
2100000,0.98188,0.01812,1,0.959713
2400000,0.98867,0.01133,0.99999,0.945278
2700000,0.99284,0.00716,1,0.97067
3000000,0.99585,0.00415,1,0.990361
3300000,0.99733,0.00267,1,0.977528
3600000,0.99832,0.00168,1,0.988095
3900000,0.99885,0.00115,1,1
4200000,0.9991,0.0009,1,0.988889
4500000,0.99954,0.00046,1,1
4800000,0.99957,0.00043,1,1
5100000,0.99972,0.00028,1,1
5400000,0.99984,0.00016,1,1
5700000,0.99982,0.00018,1,1
6000000,0.99991,9e-05,1,1
