delay,pi_A,pi_O,w_A,w_O
1500,0.50172,0.49828,1,0.00521795
1666,0.50173,0.49827,0.99996,0.00533847
1875,0.50064,0.49936,0.99988,0.00610782
2142,0.49979,0.50021,0.99994,0.00675716
2500,0.50381,0.49619,0.99994,0.00745682
3000,0.50118,0.49882,0.99986,0.00833968
3750,0.50616,0.49384,0.999862,0.010226
5000,0.50788,0.49212,0.999842,0.0118467
7500,0.50704,0.49296,0.999783,0.0158836
15000,0.51258,0.48742,0.999746,0.0261171
22500,0.51606,0.48394,0.999651,0.0363681
30000,0.52399,0.47601,0.999561,0.0427722
37500,0.52733,0.47267,0.99945,0.052891
45000,0.5286,0.4714,0.999508,0.0583581
52500,0.53492,0.46508,0.999533,0.0658381
60000,0.53837,0.46163,0.99961,0.0755367
67500,0.5403,0.4597,0.999352,0.0819883
75000,0.54452,0.45548,0.999449,0.0878634
82500,0.54898,0.45102,0.999344,0.0965367
90000,0.54829,0.45171,0.999325,0.102477
97500,0.55765,0.44235,0.999121,0.112422
105000,0.56291,0.43709,0.999289,0.120273
112500,0.56185,0.43815,0.998914,0.122538
120000,0.56838,0.43162,0.999138,0.133729
127500,0.56795,0.43205,0.999243,0.14047
135000,0.57145,0.42855,0.999108,0.147241
142500,0.57438,0.42562,0.99899,0.148912
150000,0.58012,0.41988,0.99888,0.159212
