delay,pi_A,pi_O,w_A,w_O,avg_block_interval
60000,0.28463,0.71537,0.993676,0.00898836,551667
66666,0.28391,0.71609,0.992709,0.00953791,545580
75000,0.28531,0.71469,0.990116,0.0112077,539495
85714,0.28596,0.71404,0.989684,0.0129545,530161
100000,0.28609,0.71391,0.988605,0.01524,518861
120000,0.2908,0.7092,0.984938,0.0197265,503139
150000,0.29238,0.70762,0.981189,0.0262005,479696
200000,0.29706,0.70294,0.972295,0.0397047,443198
300000,0.3155,0.6845,0.95401,0.0687655,376263
600000,0.41238,0.58762,0.91326,0.211191,254025
900000,0.527,0.473,0.91351,0.351374,209365
1200000,0.62592,0.37408,0.933746,0.459714,192327
1500000,0.70079,0.29921,0.947816,0.540055,184522
1800000,0.76348,0.23652,0.961964,0.621766,180404
2400000,0.85048,0.14952,0.982257,0.700575,177614
2700000,0.8782,0.1218,0.987099,0.760427,176936
3000000,0.90738,0.09262,0.992407,0.782984,177074
3300000,0.92067,0.07933,0.993298,0.804362,175757
3600000,0.93827,0.06173,0.99465,0.829256,175951
3900000,0.95012,0.04988,0.996085,0.835004,176403
4200000,0.95879,0.04121,0.996756,0.835962,176370
4500000,0.96645,0.03355,0.998148,0.859911,175211
5100000,0.97691,0.02309,0.998198,0.866609,175309
5400000,0.98207,0.01793,0.999033,0.825432,176227
5700000,0.98599,0.01401,0.998945,0.831549,176131
6000000,0.98808,0.01192,0.999383,0.855705,176090
