delay,pi_A,pi_O,w_A,w_O
60000,0.10097,0.89903,0.999703,0.00114568
66666,0.10103,0.89897,0.99901,0.00119025
75000,0.10228,0.89772,0.998533,0.001359
85714,0.10114,0.89886,0.998023,0.00139065
100000,0.10195,0.89805,0.999313,0.00161461
120000,0.1014,0.8986,0.997535,0.00210327
150000,0.10299,0.89701,0.997378,0.00259752
200000,0.10403,0.89597,0.996828,0.00375013
300000,0.10489,0.89511,0.995424,0.00616684
600000,0.11238,0.88762,0.9895,0.0140375
900000,0.11998,0.88002,0.983414,0.0248176
1200000,0.13332,0.86668,0.976973,0.0379494
1500000,0.14355,0.85645,0.974155,0.0508144
1800000,0.15976,0.84024,0.969079,0.0690874
2100000,0.17205,0.82795,0.965475,0.0849931
2400000,0.18853,0.81147,0.958044,0.100694
2700000,0.20497,0.79503,0.957701,0.121354
3000000,0.22401,0.77599,0.955091,0.141703
3300000,0.24261,0.75739,0.953176,0.15832
3600000,0.26238,0.73762,0.951787,0.183441
3900000,0.2816,0.7184,0.952202,0.203772
4200000,0.29939,0.70061,0.948963,0.217311
4500000,0.31579,0.68421,0.94832,0.237164
4800000,0.33656,0.66344,0.950113,0.259496
5100000,0.35639,0.64361,0.952159,0.281257
5400000,0.37694,0.62306,0.951504,0.306584
5700000,0.39331,0.60669,0.951895,0.322026
6000000,0.41317,0.58683,0.954643,0.342621
