delay,pi_A,pi_O,w_A,w_O
60000,0.11266,0.88734,0.989171,0.0143801
66666,0.11489,0.88511,0.989294,0.0168228
75000,0.11507,0.88493,0.987573,0.0194366
85714,0.11892,0.88108,0.985284,0.0238457
100000,0.12512,0.87488,0.984255,0.0284725
120000,0.13203,0.86797,0.97955,0.0373054
150000,0.14506,0.85494,0.972977,0.0519452
200000,0.1653,0.8347,0.965033,0.0771415
300000,0.22063,0.77937,0.951503,0.138304
600000,0.41305,0.58695,0.955429,0.342278
900000,0.58214,0.41786,0.97078,0.523357
1200000,0.71209,0.28791,0.983485,0.666285
1500000,0.80477,0.19523,0.991389,0.777083
1800000,0.87327,0.12673,0.996004,0.851416
2100000,0.9142,0.0858,0.997954,0.907343
2400000,0.94364,0.05636,0.999216,0.943222
2700000,0.96129,0.03871,0.999511,0.959959
3000000,0.97455,0.02545,0.99961,0.96778
3300000,0.98342,0.01658,0.999929,0.983715
3600000,0.98795,0.01205,0.999939,0.985892
3900000,0.9917,0.0083,0.99997,0.991566
4200000,0.99519,0.00481,1,1
4500000,0.99671,0.00329,1,1
4800000,0.99822,0.00178,1,0.983146
5100000,0.99847,0.00153,1,1
5400000,0.99892,0.00108,1,1
5700000,0.99929,0.00071,1,1
6000000,0.99961,0.00039,1,1
