delay,pi_A,pi_O,w_A,w_O
60000,0.90773,0.09227,1,0.0778151
66666,0.90817,0.09183,1,0.0857018
75000,0.90924,0.09076,1,0.0986117
85714,0.9095,0.0905,1,0.10663
100000,0.91303,0.08697,1,0.12947
120000,0.91418,0.08582,1,0.152062
150000,0.91732,0.08268,0.999989,0.193396
200000,0.92407,0.07593,1,0.242328
300000,0.93508,0.06492,1,0.345656
600000,0.95719,0.04281,1,0.572063
900000,0.97241,0.02759,0.99999,0.744473
1200000,0.98265,0.01735,1,0.841499
1500000,0.98893,0.01107,1,0.895212
1800000,0.99347,0.00653,1,0.921899
2100000,0.99564,0.00436,1,0.96789
2400000,0.99725,0.00275,1,0.952727
2700000,0.99841,0.00159,1,0.974843
3000000,0.99891,0.00109,1,0.990826
3300000,0.99943,0.00057,1,1
3600000,0.99957,0.00043,1,1
3900000,0.99968,0.00032,1,1
4200000,0.99982,0.00018,1,1
4500000,0.99992,8e-05,1,1
4800000,0.9999,0.0001,1,1
5100000,0.99997,3e-05,1,1
5400000,0.99998,2e-05,1,1
5700000,0.99998,2e-05,1,1
6000000,0.99998,2e-05,1,1
