delay,pi_A,pi_O,w_A,w_O
300000,0.669306,0.330694,0.882626,0.0103872
600000,0.854002,0.145998,0.852798,0.0325621
1500000,0.991784,0.008216,0.948641,0.108082
3000000,0.999865,0.000135,0.994405,0.148148
4500000,0.999996,4e-06,0.999416,0
6000000,1,0,0.999944,0
7500000,1,0,0.999985,0
9000000,1,0,0.999996,0
1050000,0.966613,0.033387,0.904406,0.0694881
1200000,0.978838,0.021162,0.921133,0.0799546
1350000,0.987208,0.012792,0.935461,0.0888837
1500000,0.992014,0.007986,0.94802,0.101052
1650000,0.994616,0.005384,0.958512,0.115156
1800000,0.996683,0.003317,0.966277,0.13054
1950000,0.99791,0.00209,0.973186,0.120574
2100000,0.998611,0.001389,0.97887,0.142549
2250000,0.999135,0.000865,0.983029,0.13526
2400000,0.999481,0.000519,0.98661,0.159923
2550000,0.999649,0.000351,0.989117,0.165242
2700000,0.999752,0.000248,0.991175,0.201613
2850000,0.999844,0.000156,0.993169,0.147436
3000000,0.999892,0.000108,0.994481,0.148148
4500000,0.999992,8e-06,0.99945,0.375
6000000,1,0,0.999918,0
