delay,pi_A,pi_O,w_A,w_O
300000,0.594192,0.405808,0.994202,0.193562
600000,0.733061,0.266939,0.993493,0.470875
1500000,0.941743,0.058257,0.999049,0.874213
3000000,0.994291,0.005709,0.99998,0.979856
4500000,0.999413,0.000587,0.999999,0.993186
6000000,0.999945,5.5e-05,0.999999,1
7500000,0.999986,1.4e-05,0.999999,1
9000000,0.999997,3e-06,0.999999,1
1050000,0.876545,0.123455,0.997337,0.748354
1200000,0.903345,0.096655,0.998113,0.798562
1350000,0.924645,0.075355,0.998756,0.845332
1500000,0.941266,0.058734,0.999132,0.877771
1650000,0.95398,0.04602,0.999341,0.89648
1800000,0.963515,0.036485,0.99954,0.920954
1950000,0.971411,0.028589,0.999733,0.93571
2100000,0.977711,0.022289,0.999794,0.946566
2250000,0.982301,0.017699,0.999876,0.957738
2400000,0.986182,0.013818,0.999915,0.968447
2550000,0.98883,0.01117,0.999939,0.973769
2700000,0.990981,0.009019,0.999948,0.978046
2850000,0.993038,0.006962,0.999976,0.980896
3000000,0.994392,0.005608,0.999982,0.983595
4500000,0.999446,0.000554,0.999996,0.990975
6000000,0.999919,8.1e-05,0.999999,1
