delay,pi_A,pi_O,w_A,w_O
300000,0.565379,0.434621,0.995288,0.134437
600000,0.634087,0.365913,0.993288,0.273584
1500000,0.808544,0.191456,0.995261,0.619208
3000000,0.942904,0.057096,0.999242,0.88127
4500000,0.982459,0.017541,0.999878,0.960949
6000000,0.994545,0.005455,0.999982,0.987168
7500000,0.998362,0.001638,0.999996,0.998168
9000000,0.999503,0.000497,1,1
1050000,0.730114,0.269886,0.993785,0.466078
1200000,0.758776,0.241224,0.994224,0.522141
1350000,0.784708,0.215292,0.994792,0.571665
1500000,0.808217,0.191783,0.995359,0.617145
1650000,0.829426,0.170574,0.99603,0.658717
1800000,0.848607,0.151393,0.996444,0.693777
1950000,0.866613,0.133387,0.997076,0.730873
2100000,0.881394,0.118606,0.997543,0.759312
2250000,0.89441,0.10559,0.997801,0.782972
2400000,0.90701,0.09299,0.998244,0.810926
2550000,0.917458,0.082542,0.998529,0.829675
2700000,0.926227,0.073773,0.998728,0.850392
2850000,0.935009,0.064991,0.998908,0.86275
3000000,0.942575,0.057425,0.999119,0.880383
4500000,0.98252,0.01748,0.999876,0.961213
6000000,0.994468,0.005532,0.999987,0.986081
