delay,pi_A,pi_O,w_A,w_O
300000,0.500504,0.499496,0.896454,0.104846
600000,0.500387,0.499613,0.836091,0.164563
1500000,0.500644,0.499356,0.776158,0.224303
3000000,0.503619,0.496381,0.761937,0.242936
4500000,0.503429,0.498971,0.75678,0.250267
6000000,0.508887,0.509867,0.743727,0.249414
7500000,0.525779,0.532997,0.736309,0.263947
9000000,0.54571,0.559811,0.724436,0.26565
1050000,0.499128,0.500872,0.79365,0.204723
1200000,0.499804,0.500196,0.787775,0.213808
1350000,0.499313,0.500687,0.781037,0.219864
1500000,0.500163,0.499837,0.776655,0.224263
1650000,0.497438,0.502562,0.769302,0.22523
1800000,0.49783,0.50217,0.769174,0.229132
1950000,0.498963,0.501037,0.766426,0.233963
2100000,0.49963,0.50037,0.763641,0.233487
2250000,0.500702,0.499298,0.764393,0.235238
2400000,0.502648,0.497352,0.765178,0.241986
2550000,0.500705,0.499295,0.759411,0.243367
2700000,0.501517,0.498483,0.763914,0.242769
2850000,0.501287,0.498713,0.758286,0.240878
3000000,0.497947,0.502073,0.756534,0.242429
4500000,0.502556,0.499397,0.758934,0.249815
6000000,0.505623,0.515638,0.743263,0.248508
