delay,pi_A,pi_O,w_A,w_O
300000,0.987747,0.012253,0.999924,0.380478
600000,0.992643,0.007357,0.999959,0.61873
1500000,0.998233,0.001767,0.99999,0.904924
3000000,0.999834,0.000166,1,0.993976
4500000,0.999987,1.3e-05,1,1
6000000,0.999998,2e-06,1,1
7500000,1,0,1,0
9000000,1,0,1,0
1050000,0.99648,0.00352,0.999975,0.815341
1200000,0.997186,0.002814,0.999989,0.860341
1350000,0.997703,0.002297,0.999986,0.888986
1500000,0.998246,0.001754,0.999994,0.900228
1650000,0.998615,0.001385,0.999995,0.916968
1800000,0.998945,0.001055,0.999998,0.946919
1950000,0.999184,0.000816,0.999998,0.954657
2100000,0.99939,0.00061,1,0.962295
2250000,0.999474,0.000526,1,0.980989
2400000,0.999598,0.000402,0.999999,0.995025
2550000,0.999696,0.000304,1,0.973684
2700000,0.999771,0.000229,1,0.995633
2850000,0.999813,0.000187,1,0.983957
3000000,0.999847,0.000153,0.999999,0.973856
4500000,0.999986,1.4e-05,1,1
6000000,0.999999,1e-06,1,1
