delay,pi_A,pi_O,w_A,w_O
300000,0.598471,0.401529,0.998576,0.201012
600000,0.746441,0.253559,0.998589,0.492903
1500000,0.950659,0.049341,0.999781,0.896354
3000000,0.996113,0.003887,0.999997,0.990738
4500000,0.99962,0.00038,1,1
6000000,0.999947,5.3e-05,1,1
7500000,0.999995,5e-06,1,1
9000000,1,0,1,0
1050000,0.889058,0.110942,0.9994,0.777965
1200000,0.915946,0.084054,0.999651,0.829633
1350000,0.935594,0.064406,0.999725,0.868522
1500000,0.95085,0.04915,0.999811,0.900712
1650000,0.962033,0.037967,0.999863,0.923723
1800000,0.970434,0.029566,0.999919,0.938781
1950000,0.977165,0.022835,0.999946,0.951171
2100000,0.982418,0.017582,0.999953,0.963884
2250000,0.986193,0.013807,0.999984,0.971898
2400000,0.989301,0.010699,0.999988,0.974016
2550000,0.99159,0.00841,0.999991,0.97931
2700000,0.993408,0.006592,0.999994,0.984982
2850000,0.994965,0.005035,0.999997,0.988083
3000000,0.995973,0.004027,1,0.991557
4500000,0.999651,0.000349,1,1
6000000,0.999969,3.1e-05,1,1
